Category 1,Category 2,Category 3,Name
Things,Food,Drink,Water
Things,Food,Drink,Juice
Describe,Color,,Orange
Describe,Color,,Blue
Describe,Color,,Green
People,,,I
People,,,You
People,,,Mommy
People,,,Daddy
People,,,Brother
People,,,Baby
Connecting,,,And
Connecting,,,Or
Connecting,,,To
Connecting,,,On
Connecting,,,With
Places,Outside,,School
Places,Inside,,Room
Action,,,Go
Action,,,Run
Action,,,Want
Action,,,Sleep
Things,Toy,,Ball
Things,Toy,,Train
Things,Animal,,Dog
Things,Animal,,Cat
Describe,Color,,Red
Describe,Color,,Yellow
Describe,Color,,Black
Describe,Color,,Brown
Describe,Color,,Purple
Describe,Color,,Pink
Things,Food,Snack,Yogurt
Things,Food,Snack,Peanut butter sandwich
Things,Food,Snack,Chips
Places,Outside,,Church
Places,Outside,,Playground
Places,Inside,,Potty
Places,Inside,,Kitchen
Things,Food,Fruit,Banana
Things,Food,Fruit,Grapes
Things,Food,Fruit,Strawberries
Things,Food,Fruit,Raisins
Things,Food,Fruit,Blueberries
Things,Food,Fruit,Apple
Things,Food,Fruit,Orange
Things,Animal,,Horse
Things,Animal,,Cow
Things,Animal,,Sheep
Things,Animal,,Goat
Things,Animal,,Bird
Things,Toy,,Birds
Things,Toy,,Legos
Things,Toy,,Blocks
Things,Toy,,Bike
Describe,Feelings,,Happy
Describe,Feelings,,Sad
Describe,Feelings,,Mad
Describe,Feelings,,Tired
Describe,Feelings,,Hungry
Describe,Feelings,,Thirsty
Describe ,Feelings,,Hurt
Describe,Feelings,,Sick
Things,Body part,,Head
Things,Body part,,Foot
Things,Body part,,Eye
Things,Body part,,Mouth
Things,Body part,,Nose
Things,Body part,,Ear
Things,Body part,,Arm
Things,Body part,,Tummy
People,,,Grandma
People,,,Grandpa
People,,,Nana
People,,,Sir
Places,Inside,,Bed
Action,,,Am
Action,,,Feel
Connecting,,,Under
Connecting,,,Next to
Connecting,,,The
Action,,,Read
Action,,,Pray
Action,,,Play
Describe,Size,,Big
Describe,Size,,Little
Action,,,Pee pee
Action,,,Poo poo
Things,Food,Dinner,Chicken
Things,Food,Dinner,Carnitas
Things,Food,Snack,Cookie
Things,Food,Snack,Crackers
Things,Food,Snack,Candy
Action,,,Eat
